update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,151.5911222762715,13,-0.9830556312449893,0.06252283488213396,-1.1553099155426025,-0.3724319338798523,7.353383458646617,6.783655155888461,1.0,54.0,1.0882754623889923,-0.5176488682627678,0.46908217668533325,0.13351454306393862,0.19719553071472026,-0.9830556312449893,0.06252283488213396,-1.1553099155426025,-0.3724319338798523
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,162.50848478583603,26,-0.9657019324469984,0.07619249785992427,-1.1518911123275757,-0.4838470220565796,11.192982456140351,10.800322601567872,1.0,57.0,1.061516597867012,-0.682763896882534,0.20507479086518288,0.047810060903429985,0.2679304539476957,-0.9657019324469984,0.07619249785992427,-1.1518911123275757,-0.4838470220565796
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,161.65482870696212,38,-0.9578849786158764,0.1178686101694661,-1.22809898853302,-0.2690608501434326,14.780303030303031,12.89074979243655,1.0,52.0,1.045407623052597,-0.7782270237803459,0.04556427430361509,0.026125584729015827,0.09224140880624856,-0.9578849786158764,0.1178686101694661,-1.22809898853302,-0.2690608501434326
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,160.69075386405746,51,-0.94865541037966,0.12610874871384356,-1.2446949481964111,-0.4184628129005432,17.89344262295082,17.855433749362,1.0,88.0,1.0110497027635574,-0.8143629655241966,0.015232831123284996,0.017393185757100582,0.07964384827467094,-0.94865541037966,0.12610874871384356,-1.2446949481964111,-0.4184628129005432
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,157.2403574819934,64,-0.922168458359582,0.15651052901708884,-1.2470639944076538,-0.0914531946182251,25.17142857142857,19.416466817458563,3.0,106.0,0.9811565950512886,-0.7674393206834793,-0.047082274220883846,0.018711711280047894,0.10159683147564463,-0.922168458359582,0.15651052901708884,-1.2470639944076538,-0.0914531946182251
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,158.1425016916682,77,-0.7700956286610784,0.5522346699095856,-1.2961146831512451,1.8918275833129883,48.351351351351354,50.481046063719425,1.0,180.0,0.9718694910407066,-0.6304638385772705,-0.12349880766123533,0.031169285997748375,0.198369346422017,-0.7700956286610784,0.5522346699095856,-1.2961146831512451,1.8918275833129883
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,158.53921980096476,90,-0.758501700229115,0.35706225745133974,-1.1109001636505127,0.7919667959213257,56.52777777777778,49.330228568467874,4.0,235.0,0.9403872862458229,-0.6071456894278526,-0.06039058370515704,0.029415210243314505,0.13688279368826847,-0.758501700229115,0.35706225745133974,-1.1109001636505127,0.7919667959213257
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,153.75006957288372,103,-0.7467817962169647,0.38897238612990426,-1.1492335796356201,0.23667645454406738,52.416666666666664,46.335656416582204,3.0,178.0,0.9089420214295387,-0.4875335916876793,-0.09328765142709017,0.0297552605625242,0.15577114072269765,-0.7467817962169647,0.38897238612990426,-1.1492335796356201,0.23667645454406738
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,145.1817444549278,117,-0.20133068785071373,0.9035540815501667,-1.0564355850219727,1.494138240814209,120.4375,95.49801617703899,6.0,256.0,0.86519405990839,-0.36530540883541107,-0.12504571583122015,0.025480403564870358,0.13957431519822933,-0.20133068785071373,0.9035540815501667,-1.0564355850219727,1.494138240814209
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,160.9493775689796,130,-0.08225300732780905,1.178641061126172,-1.2362325191497803,1.9934337139129639,141.88235294117646,101.25383499080922,4.0,256.0,0.8760310858488083,-0.287391971796751,-0.08095113653689623,0.031543757766485214,0.1544650512801113,-0.08225300732780905,1.178641061126172,-1.2362325191497803,1.9934337139129639
